eigenvector,betweenness
0.2629740699317783,0.011801242236024845
0.23933244895339587,0.006564398334584669
0.17897309594093153,3.981525720656155e-05
0.11730287800945602,0.0
0.5396411017194012,0.7326115395991173
0.2827424498442827,0.020877983300343586
0.25229399806681313,0.034759288330716884
0.14466505551643447,0.001475439674197438
0.15761254856630183,0.0
0.07012705439011103,0.0
0.15635334780621502,0.0
0.28464303308735295,0.08769367278684047
0.07299160437341534,0.0
0.05242890970682765,0.0
0.04778629197582399,0.0
0.07759306062318752,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.1436558969607181,0.0
0.06897934783644033,0.0
0.0008351121822483834,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.055412012780749156,0.0
0.08611697149409278,0.07566889632107023
0.15950403769619606,0.0
0.10755244725018208,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.008595636485588455,0.058050645007166744
0.0007611618143841027,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
2.6491368617845226e-17,0.0
0.05261798586679543,0.019589106545628284
0.004659330162166567,0.0
0.04778629197582399,0.0
0.09533236678770239,0.0
0.0796347748079652,0.0
0.02520531239759135,0.0
0.07299160437341534,0.0
0.05242890970682765,0.0
0.04778629197582399,0.0
0.050060101316119786,0.0
0.04778629197582399,0.0
0.09727416996216005,7.96305144131231e-05
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
2.6491368617845226e-17,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
2.6491368617845226e-17,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
2.6491368617845226e-17,0.0
2.6491368617845226e-17,0.0
0.0007611618143841027,0.0
2.6491368617845226e-17,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.06706060770810877,0.019589106545628284
0.04778629197582399,0.0
0.02520531239759135,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.02520531239759135,0.0
2.6491368617845226e-17,0.0
0.04778629197582399,0.0
0.04778629197582399,0.0
0.0059382727658630965,0.0
2.6491368617845226e-17,0.0
2.6491368617845226e-17,0.0
